ch1_zc,ch1_ssc,ch1_mav,ch1_wl,ch1_rms,ch1_var,ch2_zc,ch2_ssc,ch2_mav,ch2_wl,ch2_rms,ch2_var,ch3_zc,ch3_ssc,ch3_mav,ch3_wl,ch3_rms,ch3_var,label
84,184,4.24e-4,0.112497,5.200000000000001e-4,0,43,148,9.74e-4,0.1703,0.001175,1e-6,93,192,5.690000000000001e-4,0.1532,7.24e-4,1e-6,0
22,63,0.009304999999999999,0.640342,0.012387,1.53e-4,19,61,0.031135000000000003,2.255758,0.038942000000000004,0.001516,29,75,0.020638,1.633167,0.028762,8.269999999999999e-4,9
160,199,2.48e-4,0.112793,3.09e-4,0,71,181,4.99e-4,0.118099,6.190000000000001e-4,0,92,183,4.96e-4,0.137794,6.63e-4,0,0
25,114,0.002858,0.24189499999999997,0.003729,1.4000000000000001e-5,26,101,0.0028079999999999997,0.268092,0.00358,1.3000000000000001e-5,22,97,0.004942,0.389971,0.0061,3.7e-5,2
70,154,5.94e-4,0.1231,7.36e-4,1e-6,72,168,5.549999999999999e-4,0.135157,6.900000000000001e-4,0,70,168,6.74e-4,0.145758,8.39e-4,1e-6,0
39,120,0.0023940000000000003,0.243209,0.0031780000000000003,1e-5,30,98,0.003111,0.299075,0.0038770000000000002,1.4999999999999999e-5,22,127,0.002866,0.269972,0.003711,1.4000000000000001e-5,8
78,179,7.13e-4,0.14491099999999998,9e-4,1e-6,81,183,6.2e-4,0.133948,7.95e-4,1e-6,80,191,5.57e-4,0.135713,7.019999999999999e-4,0,0
30,100,0.0030559999999999997,0.289588,0.0038380000000000003,1.4999999999999999e-5,29,84,0.0064659999999999995,0.6215390000000001,0.008169,6.7e-5,32,81,0.013817,1.2457479999999999,0.018223,3.32e-4,7
21,86,0.004340999999999999,0.336812,0.005324000000000001,2.8000000000000003e-5,23,76,0.00872,0.6746310000000001,0.011073000000000001,1.23e-4,27,74,0.011137000000000001,0.950176,0.014771000000000001,2.18e-4,7
24,65,0.005189,0.38862800000000003,0.006661,4.4e-5,28,79,0.004926,0.45049700000000004,0.006108,3.7e-5,36,103,0.003817,0.400008,0.005007999999999999,2.5e-5,2
15,119,0.003508,0.236136,0.004409000000000001,1.9e-5,26,69,0.005419,0.44299799999999995,0.0065829999999999994,4.3e-5,23,84,0.004839,0.428982,0.006132,3.8e-5,4
25,116,0.002359,0.205102,0.0031550000000000003,1e-5,22,113,0.0034460000000000003,0.274897,0.004481000000000001,2e-5,30,91,0.004188,0.370602,0.005058,2.5e-5,6
36,138,0.001286,0.166215,0.0016589999999999999,3e-6,34,136,0.002074,0.216998,0.002935,9e-6,31,74,0.006195,0.571839,0.007431,5.5e-5,3
90,190,4.07e-4,0.11599200000000001,4.89e-4,0,68,156,7.559999999999999e-4,0.160395,9.27e-4,1e-6,87,184,5.66e-4,0.146536,7.2e-4,1e-6,0
38,122,0.002241,0.204213,0.002911,8e-6,29,132,0.0016769999999999999,0.197775,0.002173,5e-6,31,100,0.0063490000000000005,0.541882,0.009209,8.499999999999999e-5,3
71,194,5.26e-4,0.125387,6.41e-4,0,79,176,5.09e-4,0.121432,6.61e-4,0,74,177,5.76e-4,0.13736099999999998,6.940000000000001e-4,0,0
39,148,0.0016989999999999998,0.171167,0.002338,5e-6,23,105,0.002936,0.279303,0.003539,1.2e-5,27,112,0.003547,0.323737,0.00469,2.2e-5,8
62,171,8.67e-4,0.16084,0.001092,1e-6,56,173,7.570000000000001e-4,0.141703,9.199999999999999e-4,1e-6,112,195,4.7400000000000003e-4,0.143872,6.219999999999999e-4,0,0
75,181,6.6e-4,0.143233,8.42e-4,1e-6,73,171,7.559999999999999e-4,0.145565,0.0010199999999999999,1e-6,60,172,8.8e-4,0.161947,0.001106,1e-6,0
37,138,0.002082,0.230465,0.0030670000000000003,9e-6,30,80,0.0048460000000000005,0.47473999999999994,0.0061259999999999995,3.7e-5,27,117,0.004193,0.36732600000000004,0.0052770000000000004,2.8000000000000003e-5,5
26,72,0.009109,0.61332,0.013293000000000001,1.76e-4,30,66,0.010284999999999999,1.059289,0.012740000000000001,1.6e-4,19,81,0.011343,0.8239780000000001,0.014062999999999999,1.98e-4,3
33,119,0.002297,0.284597,0.002897,8e-6,19,86,0.007306,0.571264,0.008937,8e-5,25,65,0.01045,0.7547699999999999,0.012999,1.69e-4,7
38,114,0.002171,0.21654600000000002,0.002802,8e-6,28,85,0.004588,0.43481499999999995,0.005678,3.2e-5,26,88,0.0058920000000000005,0.47962,0.007422,5.5e-5,5
50,147,0.0011,0.18073599999999998,0.001351,2e-6,26,97,0.003071,0.27610300000000004,0.004301,1.8e-5,30,130,0.0018559999999999998,0.21699200000000002,0.002363,6e-6,6
71,178,6.47e-4,0.144564,8.039999999999999e-4,1e-6,64,169,7.71e-4,0.142627,9.82e-4,1e-6,90,168,5.03e-4,0.137416,6.47e-4,0,0
32,119,0.002168,0.218651,0.002823,8e-6,27,94,0.004520000000000001,0.417494,0.0058850000000000005,3.5e-5,30,90,0.004829,0.46096400000000004,0.006013,3.6e-5,9
74,185,4.91e-4,0.127722,6.09e-4,0,81,164,5.639999999999999e-4,0.122304,7.54e-4,1e-6,84,175,4.65e-4,0.125986,5.89e-4,0,0
86,199,4.3099999999999996e-4,0.108295,5.38e-4,0,41,146,0.0012,0.165024,0.00143,2e-6,93,195,4.39e-4,0.129678,5.54e-4,0,0
125,199,2.5699999999999996e-4,0.099065,3.23e-4,0,121,185,3.02e-4,0.110796,3.71e-4,0,122,194,3.7400000000000004e-4,0.139464,4.5700000000000005e-4,0,0
47,152,0.001387,0.165027,0.001812,3e-6,77,170,7.32e-4,0.13235999999999998,9.95e-4,1e-6,52,178,8.11e-4,0.144175,0.001007,1e-6,0
26,67,0.008711,0.642245,0.011340000000000001,1.29e-4,21,68,0.03433,2.054795,0.042422,0.0018,28,77,0.027035000000000003,2.323613,0.034623,0.001199,7
62,182,7.39e-4,0.160824,9.09e-4,1e-6,57,165,6.33e-4,0.131968,7.78e-4,1e-6,106,191,4.05e-4,0.139872,5.15e-4,0,0
22,87,0.006509999999999999,0.39270700000000003,0.008551999999999999,7.3e-5,36,90,0.005281,0.55366,0.006686,4.5e-5,31,66,0.006554000000000001,0.646686,0.008128,6.6e-5,4
25,34,0.022965,1.652983,0.029906,8.939999999999999e-4,23,67,0.010211,0.7242149999999999,0.013555000000000001,1.84e-4,21,81,0.008325,0.68867,0.010202,1.0400000000000001e-4,8
51,153,0.001181,0.171727,0.00146,2e-6,59,173,7.769999999999999e-4,0.14848,9.699999999999999e-4,1e-6,62,185,5.9e-4,0.128299,7.35e-4,1e-6,0
54,130,0.001602,0.251827,0.002165,5e-6,22,57,0.009598,0.7498,0.011445,1.31e-4,34,81,0.0060539999999999995,0.567567,0.007645999999999999,5.7999999999999994e-5,4
62,180,8.410000000000001e-4,0.155048,0.001094,1e-6,59,149,7.85e-4,0.134982,9.660000000000001e-4,1e-6,103,191,3.7200000000000004e-4,0.12551099999999998,4.63e-4,0,0
19,84,0.004125,0.29078200000000004,0.005166,2.7000000000000002e-5,24,67,0.01235,0.908115,0.015972999999999998,2.5499999999999996e-4,30,102,0.004173,0.36659200000000003,0.005305,2.8000000000000003e-5,5
34,152,9.87e-4,0.128863,0.00125,2e-6,69,174,5.59e-4,0.118323,7.25e-4,1e-6,89,183,4.1900000000000005e-4,0.120249,5.13e-4,0,0
28,137,0.0018440000000000002,0.168736,0.0026100000000000003,7.000000000000001e-6,34,87,0.00373,0.358819,0.004835,2.3e-5,32,138,0.001952,0.217937,0.00252,6e-6,5
55,166,6.14e-4,0.11942,7.379999999999999e-4,1e-6,91,185,4.99e-4,0.130517,6.33e-4,0,67,185,6.76e-4,0.13804,8.380000000000001e-4,1e-6,0
99,188,4.969999999999999e-4,0.135278,6.25e-4,0,81,170,6.67e-4,0.12205899999999999,9.15e-4,1e-6,92,178,5.09e-4,0.135074,6.56e-4,0,0
41,107,0.002643,0.282131,0.0034460000000000003,1.2e-5,31,90,0.005319,0.43116400000000005,0.006818,4.6e-5,32,111,0.0034869999999999996,0.381946,0.004621,2.1e-5,2
33,124,0.00159,0.18451900000000002,0.001995,4e-6,33,127,0.001929,0.194517,0.0026,7.000000000000001e-6,25,121,0.002849,0.25583,0.0035619999999999996,1.3000000000000001e-5,2
37,95,0.002785,0.291889,0.003563,1.3000000000000001e-5,29,90,0.004554,0.389212,0.006005,3.6e-5,23,73,0.008152,0.73015,0.009602,9.2e-5,3
33,130,0.003165,0.23954699999999998,0.004419,2e-5,20,112,0.004517,0.31915,0.006028,3.6e-5,37,123,0.002973,0.304023,0.003964,1.6e-5,8
24,114,0.0034560000000000003,0.267135,0.004333,1.9e-5,23,97,0.0064069999999999995,0.478584,0.007816,6.1e-5,34,83,0.004809000000000001,0.528367,0.005982,3.6e-5,9
34,103,0.002499,0.259614,0.0031320000000000002,1e-5,20,80,0.006552,0.48891599999999996,0.008418,7.099999999999999e-5,32,111,0.0031969999999999998,0.30389099999999997,0.004242,1.8e-5,6
28,122,0.002771,0.22580999999999998,0.003616,1.3000000000000001e-5,36,86,0.003083,0.320754,0.003997,1.6e-5,29,109,0.003069,0.286674,0.003715,1.4000000000000001e-5,2
62,151,4.8499999999999997e-4,0.107302,5.82e-4,0,38,130,0.001206,0.159376,0.0014089999999999999,2e-6,50,152,9.06e-4,0.154791,0.001086,1e-6,0
78,176,5.6e-4,0.13833900000000002,6.98e-4,0,77,177,5.84e-4,0.12296800000000001,7.24e-4,1e-6,62,187,6.580000000000001e-4,0.146545,8.28e-4,1e-6,0
30,120,0.002258,0.25392600000000004,0.002853,8e-6,25,102,0.0055,0.498338,0.007225,5.2000000000000004e-5,25,67,0.011738,0.9543360000000001,0.015043,2.26e-4,7
77,176,6.889999999999999e-4,0.130974,8.63e-4,1e-6,58,155,9.21e-4,0.14641099999999999,0.001188,1e-6,69,169,7.52e-4,0.148573,9.58e-4,1e-6,0
23,66,0.006498,0.509426,0.007901,6.2e-5,25,65,0.010831,0.927277,0.013447,1.81e-4,27,63,0.014012,1.10491,0.016534,2.73e-4,4
33,137,0.0016760000000000002,0.17433900000000002,0.002127,5e-6,37,123,0.0016170000000000002,0.1962,0.0020440000000000002,4e-6,21,91,0.0051909999999999994,0.340192,0.006587000000000001,4.3e-5,3
30,134,0.001808,0.18540299999999998,0.002245,5e-6,40,92,0.003207,0.33664,0.004305,1.9e-5,26,64,0.00939,0.7430680000000001,0.011533,1.33e-4,3
38,126,0.002036,0.270905,0.002572,7.000000000000001e-6,30,78,0.008015999999999999,0.651197,0.010218000000000001,1.0400000000000001e-4,28,65,0.010393000000000001,0.963284,0.01299,1.69e-4,4
81,183,5.66e-4,0.14027,7.030000000000001e-4,0,44,157,0.001086,0.153552,0.0012900000000000001,2e-6,61,161,7.160000000000001e-4,0.13867000000000002,8.84e-4,1e-6,0
18,71,0.005664,0.394888,0.007304000000000001,5.3e-5,31,99,0.003474,0.31324,0.004636,2.1e-5,26,80,0.005658,0.46265200000000006,0.0073290000000000004,5.4000000000000005e-5,4
38,109,0.0031100000000000004,0.325477,0.0042450000000000005,1.8e-5,24,73,0.009175,0.816105,0.012216,1.49e-4,25,80,0.011394,0.948501,0.014542,2.1099999999999998e-4,9
59,177,5.99e-4,0.1189,7.379999999999999e-4,1e-6,55,158,9.67e-4,0.16253,0.001225,2e-6,42,134,0.0019320000000000001,0.189557,0.0024739999999999996,6e-6,7
30,112,0.003797,0.316085,0.005873,3.4e-5,18,75,0.008313,0.512383,0.010506,1.1e-4,30,90,0.005869,0.48573,0.007705,5.9e-5,0
24,65,0.005307,0.398332,0.006862999999999999,4.7e-5,34,113,0.002636,0.258802,0.003378,1.1e-5,30,111,0.0044859999999999995,0.37967399999999996,0.005817,3.4e-5,8
82,181,5.740000000000001e-4,0.142959,7.17e-4,1e-6,72,165,6.99e-4,0.13106199999999998,9.26e-4,1e-6,63,158,6.76e-4,0.145217,8.59e-4,1e-6,0
90,187,5.51e-4,0.14998399999999998,6.730000000000001e-4,0,68,182,5.37e-4,0.128223,0.00064900000000000005,0,51,144,0.001255,0.19180999999999998,0.001556,2e-6,0
84,184,4.79e-4,0.121298,6.12e-4,0,81,141,7.25e-4,0.173153,9.019999999999999e-4,1e-6,82,170,6.42e-4,0.145545,8.19e-4,1e-6,0
26,95,0.0033979999999999995,0.29899899999999996,0.0045509999999999995,2.1e-5,28,86,0.0065650000000000005,0.5604520000000001,0.008343000000000001,7e-5,30,70,0.009613,0.8573379999999999,0.012641,1.6e-4,7
73,168,7.37e-4,0.140434,9.78e-4,1e-6,72,166,6.83e-4,0.126566,8.75e-4,1e-6,73,182,5.89e-4,0.135204,7.32e-4,1e-6,0
81,179,5.4e-4,0.132939,6.51e-4,0,113,174,4.0599999999999995e-4,0.137008,5.23e-4,0,44,160,0.001066,0.154152,0.001341,2e-6,0
